city,country,year,city_temp,global_temp
San Jose,United States,1994,14.21,9.04
San Jose,United States,1995,15.31,9.35
San Jose,United States,1996,15.56,9.04
San Jose,United States,1997,15.75,9.20
San Jose,United States,1998,14.38,9.52
San Jose,United States,1999,14.41,9.29
San Jose,United States,2000,15.02,9.20
San Jose,United States,2001,15.25,9.41
San Jose,United States,2002,15.00,9.57
San Jose,United States,2003,15.43,9.53
San Jose,United States,2004,15.37,9.32
San Jose,United States,2005,15.17,9.70
San Jose,United States,2006,15.02,9.53
San Jose,United States,2007,14.94,9.73
San Jose,United States,2008,15.05,9.43
San Jose,United States,2009,15.02,9.51
San Jose,United States,2010,14.67,9.70
San Jose,United States,2011,14.50,9.52
San Jose,United States,2012,15.05,9.51
San Jose,United States,2013,16.23,9.61
